Date,Volume,Open,High,Low,Close,Adj Close
08-12-21,18964000,148.33,149.16,147.20,148.72,148.72
09-12-21,18580000,148.18,149.60,147.53,148.11,148.11
10-12-21,21634000,149.10,149.40,147.36,148.68,148.68
13-12-21,24104000,148.44,148.56,146.36,146.70,146.70
14-12-21,24778000,144.77,145.44,142.24,144.97,144.97
15-12-21,27280000,144.37,147.52,142.71,147.37,147.37
16-12-21,27400000,148.08,148.55,144.09,144.84,144.84
17-12-21,43404000,142.71,144.46,141.79,142.80,142.80
20-12-21,20264000,140.68,142.61,140.25,142.40,142.40
21-12-21,19548000,143.15,144.69,141.74,144.22,144.22
22-12-21,18438000,144.10,147.30,143.96,146.95,146.95
23-12-21,13818000,147.09,148.57,146.95,147.14,147.14
27-12-21,13256000,147.46,148.43,147.25,148.06,148.06
28-12-21,18624000,148.37,148.37,145.94,146.45,146.45
29-12-21,17022000,146.43,147.18,145.50,146.50,146.50
30-12-21,12978000,146.45,147.06,145.76,146.00,146.00
31-12-21,17298000,145.54,146.37,144.68,144.68,144.68
03-01-22,25214000,144.48,145.55,143.50,145.07,145.07
04-01-22,22928000,145.55,146.61,143.82,144.42,144.42
05-01-22,49642000,144.18,144.30,137.52,137.65,137.65
06-01-22,29050000,137.50,139.69,136.76,137.55,137.55
07-01-22,19408000,137.90,138.25,135.79,137.00,137.00
10-01-22,34096000,135.10,138.64,133.14,138.57,138.57
11-01-22,23502000,138.18,140.33,136.81,140.02,140.02
12-01-22,23642000,141.55,142.81,141.11,141.65,141.65
13-01-22,26566000,141.84,143.19,138.91,139.13,139.13
14-01-22,23826000,137.50,141.20,137.50,139.79,139.79
18-01-22,27382000,136.60,137.39,135.62,136.29,136.29
19-01-22,20796000,136.94,138.40,135.50,135.65,135.65
20-01-22,21930000,136.51,137.91,133.14,133.51,133.51
21-01-22,41920000,133.01,134.76,130.00,130.09,130.09
24-01-22,55148000,126.03,130.78,124.64,130.37,130.37
25-01-22,36008000,128.44,129.34,126.38,126.74,126.74
26-01-22,39630000,130.59,132.81,127.15,129.24,129.24
27-01-22,30248000,131.36,132.61,128.95,129.12,129.12
28-01-22,30518000,130.00,133.37,128.69,133.29,133.29
31-01-22,34056000,134.20,135.84,132.27,135.70,135.70
01-02-22,51204000,137.84,138.20,134.57,137.88,137.88
02-02-22,89750000,151.86,152.10,145.56,148.04,148.04
03-02-22,56930000,145.29,149.12,142.21,142.65,142.65
04-02-22,49224000,143.02,144.54,139.82,143.02,143.02
07-02-22,44610000,143.71,143.85,138.70,138.94,138.94
08-02-22,34256000,138.99,139.84,136.87,139.21,139.21
09-02-22,28628000,140.85,142.18,140.38,141.45,141.45
10-02-22,33018000,139.50,141.43,138.05,138.60,138.60
11-02-22,38808000,138.75,139.28,133.29,134.13,134.13
